date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:31	46168/46168	---M-Z	200	added ('OK')	text/html	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/contact_us.html	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/contact_us.html	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:31	1353/1353	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/logo4.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/logo4.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:31	2278/2278	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/pf.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/pf.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:31	1729/1729	---M--	200	added ('OK')	image/jpeg	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/job1.jpg	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/job1.jpg	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:32	12710/12710	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/slider_bg.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/slider_bg.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:32	4284/4284	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/shape4.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/shape4.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:32	408/408	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/bubble.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/bubble.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:33	25928/25928	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/slider_img.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/slider_img.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:33	1168/1168	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/line.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/line.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:33	1048/1048	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/lt5.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/lt5.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:33	2788/2788	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/lt2.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/lt2.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:33	795/795	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/lt3.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/lt3.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:34	2302/2302	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/lt4.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/lt4.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:34	2502/2502	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/lt1.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/lt1.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:34	43556/43556	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/mockup6.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/mockup6.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
11:05:34	6601/6601	---M--	200	added ('OK')	image/png	date:Tue,%201%20Oct%202014%2010:10:10%20GMT	https://webstrot.com/html/jbdesk/main_version/main_pages/images/line2.png	E:/SAGAR/BE/ResumeFinder/webstrot.com/html/jbdesk/main_version/main_pages/images/line2.png	(from https://webstrot.com/html/jbdesk/main_version/main_pages/index_III.html)
